customer_id,customer_name,books
11,Wayne Gerhold III,"[{""book_id"":""cc1cd9da-a435-4654-b6d5-319ab7f0beb5"",""author_name"":""Dr. Jimmie Rau"",""book_name"":""countersign but heavy"",""lend_date"":""2023-08-19"",""days_to_return"":27},{""book_id"":""e87246ca-9449-47f5-b639-478173ca27dd"",""author_name"":""Rene Waters"",""book_name"":""grasp majestically clamp"",""lend_date"":""2024-01-19"",""days_to_return"":2},{""book_id"":""db76fd9b-0f5a-4e31-89a4-288a0f5dc763"",""author_name"":""Fernando Streich"",""book_name"":""what resect unto"",""lend_date"":""2023-02-27"",""days_to_return"":22}]"
12,Olive Morar,"[{""book_id"":""cc1cd9da-a435-4654-b6d5-319ab7f0beb5"",""author_name"":""Dr. Jimmie Rau"",""book_name"":""countersign but heavy"",""lend_date"":""2023-04-26"",""days_to_return"":30},{""book_id"":""b05581a2-8704-44fa-af6b-f2f8ade25279"",""author_name"":""Earl Carroll"",""book_name"":""apud beautiful pish"",""lend_date"":""2023-09-17"",""days_to_return"":15}]"
13,Miss Janie Cummings-Hickle,"[{""book_id"":""84ce9fa3-96ba-4cc3-82be-76063010f2c5"",""author_name"":""Rachel Johns"",""book_name"":""meh decimalise under"",""lend_date"":""2023-06-27"",""days_to_return"":12},{""book_id"":""db76fd9b-0f5a-4e31-89a4-288a0f5dc763"",""author_name"":""Fernando Streich"",""book_name"":""what resect unto"",""lend_date"":""2023-05-06"",""days_to_return"":2},{""book_id"":""c7cb726e-0fe0-45c1-a147-cc28ec53091e"",""author_name"":""Maurice Renner"",""book_name"":""gah different quiver"",""lend_date"":""2023-08-20"",""days_to_return"":26},{""book_id"":""9eb414dd-8599-43a8-941d-64be8d7a2552"",""author_name"":""Robin Aufderhar"",""book_name"":""consequently across obedient"",""lend_date"":""2024-01-24"",""days_to_return"":2},{""book_id"":""9a88d854-8f9a-4e39-bf82-d9b5e14178e7"",""author_name"":""Marta Terry"",""book_name"":""smoggy lest as"",""lend_date"":""2023-10-14"",""days_to_return"":15}]"
14,Nichole Schimmel,"[{""book_id"":""a829785f-5668-4877-8131-372c9c124d45"",""author_name"":""Rene Waters"",""book_name"":""apostrophize duh instantly"",""lend_date"":""2023-12-23"",""days_to_return"":14},{""book_id"":""4040e88b-28a5-429e-bce3-fd83368d8369"",""author_name"":""Terrell Harvey"",""book_name"":""whereas biscuit trundle"",""lend_date"":""2023-02-02"",""days_to_return"":18},{""book_id"":""ec16e9c3-d2ed-4494-bf3c-3213138c503d"",""author_name"":""Fernando Streich"",""book_name"":""conscript descry even"",""lend_date"":""2023-05-20"",""days_to_return"":20},{""book_id"":""0f4cb001-17e3-480a-a569-f72191547a1e"",""author_name"":""Mitchell Strosin"",""book_name"":""interestingly truthful free"",""lend_date"":""2023-10-08"",""days_to_return"":8},{""book_id"":""91bbd506-f3a2-468e-8297-f0c3cb765c57"",""author_name"":""Mabel D'Amore DDS"",""book_name"":""arrangement enlightened yowza"",""lend_date"":""2023-07-18"",""days_to_return"":13}]"
15,Paulette Wolf,"[{""book_id"":""84ce9fa3-96ba-4cc3-82be-76063010f2c5"",""author_name"":""Rachel Johns"",""book_name"":""meh decimalise under"",""lend_date"":""2023-04-16"",""days_to_return"":25},{""book_id"":""e87246ca-9449-47f5-b639-478173ca27dd"",""author_name"":""Rene Waters"",""book_name"":""grasp majestically clamp"",""lend_date"":""2023-11-12"",""days_to_return"":25}]"
16,Alice Collier,"[{""book_id"":""b2883074-8b3c-46f6-bc2d-93aad23050c8"",""author_name"":""Joyce Russel"",""book_name"":""gah laborer superintend"",""lend_date"":""2023-09-01"",""days_to_return"":16},{""book_id"":""e3cc270d-bf87-4c0e-836c-0ad79c23c3aa"",""author_name"":""Jenna Gerlach"",""book_name"":""interwork irritably hmph"",""lend_date"":""2023-10-17"",""days_to_return"":3}]"
17,Judy Schuster,"[{""book_id"":""c7cb726e-0fe0-45c1-a147-cc28ec53091e"",""author_name"":""Maurice Renner"",""book_name"":""gah different quiver"",""lend_date"":""2023-12-07"",""days_to_return"":25},{""book_id"":""2ae90a35-1862-4a7f-9a16-a2d9c910b674"",""author_name"":""Erin Cole"",""book_name"":""pursue warmly circa"",""lend_date"":""2023-12-05"",""days_to_return"":10},{""book_id"":""ee219d5a-390c-4d16-95c3-b67020fcaac0"",""author_name"":""Josh Cruickshank"",""book_name"":""buoyant elope safely"",""lend_date"":""2023-10-03"",""days_to_return"":21}]"
18,Mrs. Jaime Dare,"[]"
19,Mr. Dennis Nitzsche,"[{""book_id"":""9c480ab4-4dc7-455e-9284-af60a3906c5f"",""author_name"":""Yvette Koelpin-Stanton DDS"",""book_name"":""psst huzzah meh"",""lend_date"":""2023-02-07"",""days_to_return"":28},{""book_id"":""9bbd1de9-c633-4a0b-b474-856c532df644"",""author_name"":""Dr. Kristi Morissette"",""book_name"":""whimper delayed ew"",""lend_date"":""2023-03-10"",""days_to_return"":29}]"
20,Jody Prosacco,"[{""book_id"":""0f75b8b5-13c0-469d-90a4-5a4175707d57"",""author_name"":""Marie Schiller"",""book_name"":""sympathetic paw which"",""lend_date"":""2023-06-24"",""days_to_return"":28}]"
21,Dr. Holly Wintheiser,"[{""book_id"":""e11aa8b0-6956-4fa0-937e-f7bbf9aa5a2f"",""author_name"":""Mitchell Strosin"",""book_name"":""indeed unlike loosely"",""lend_date"":""2023-10-11"",""days_to_return"":2},{""book_id"":""ec16e9c3-d2ed-4494-bf3c-3213138c503d"",""author_name"":""Fernando Streich"",""book_name"":""conscript descry even"",""lend_date"":""2023-09-18"",""days_to_return"":9},{""book_id"":""d253e159-3027-4b96-917e-a2a6a9e14a7b"",""author_name"":""Maureen White"",""book_name"":""powerfully during idle"",""lend_date"":""2023-04-29"",""days_to_return"":11},{""book_id"":""3b577187-5ed0-493b-8c29-58c94c218204"",""author_name"":""Kari Oberbrunner"",""book_name"":""vacation networking carefully"",""lend_date"":""2023-05-19"",""days_to_return"":20}]"
22,Rosemary Wisozk,"[{""book_id"":""f772c30f-a12d-4ddb-a434-8bd009f60750"",""author_name"":""Eduardo White"",""book_name"":""crunch finally frenetically"",""lend_date"":""2023-06-03"",""days_to_return"":20},{""book_id"":""07db4fb0-8a2b-4606-a525-b764aec51300"",""author_name"":""Maureen White"",""book_name"":""but quarrelsomely swank"",""lend_date"":""2024-01-04"",""days_to_return"":5},{""book_id"":""475f3164-197c-48ed-95b1-89ddd4811a40"",""author_name"":""Miss Olive Conn"",""book_name"":""although before shoot"",""lend_date"":""2023-05-11"",""days_to_return"":23},{""book_id"":""c215c3af-4d5b-4056-a94d-5a75470bb74b"",""author_name"":""Donald Satterfield"",""book_name"":""shootdown inasmuch deliberately"",""lend_date"":""2023-12-19"",""days_to_return"":26},{""book_id"":""5727ff01-23af-460b-8edb-73f42b97dc58"",""author_name"":""Robyn Bayer-Gleason"",""book_name"":""yuck gladden midst"",""lend_date"":""2023-09-10"",""days_to_return"":11}]"
23,Juana Bailey,"[{""book_id"":""826bee51-a646-4b56-a6f0-157a099ca32f"",""author_name"":""Miss Ann Sporer"",""book_name"":""pave where phew"",""lend_date"":""2023-03-08"",""days_to_return"":16},{""book_id"":""1241526a-305d-45a9-9f59-c24f3c74e49b"",""author_name"":""Dr. Jimmie Rau"",""book_name"":""before huzzah than"",""lend_date"":""2023-11-26"",""days_to_return"":23},{""book_id"":""46a64cc4-21ee-426f-8dd2-204c3c860e1d"",""author_name"":""Erin Cole"",""book_name"":""mushy even ugh"",""lend_date"":""2023-01-31"",""days_to_return"":10}]"
24,Douglas Franey,"[{""book_id"":""4fbec169-d417-49fb-867b-71af71caeeeb"",""author_name"":""Jenna Gerlach"",""book_name"":""why busily refill"",""lend_date"":""2023-06-12"",""days_to_return"":4},{""book_id"":""91bbd506-f3a2-468e-8297-f0c3cb765c57"",""author_name"":""Mabel D'Amore DDS"",""book_name"":""arrangement enlightened yowza"",""lend_date"":""2023-04-03"",""days_to_return"":8},{""book_id"":""91bbd506-f3a2-468e-8297-f0c3cb765c57"",""author_name"":""Mabel D'Amore DDS"",""book_name"":""arrangement enlightened yowza"",""lend_date"":""2023-03-30"",""days_to_return"":9}]"
25,Oliver Purdy,"[{""book_id"":""9bbd1de9-c633-4a0b-b474-856c532df644"",""author_name"":""Dr. Kristi Morissette"",""book_name"":""whimper delayed ew"",""lend_date"":""2023-07-09"",""days_to_return"":1},{""book_id"":""3b577187-5ed0-493b-8c29-58c94c218204"",""author_name"":""Kari Oberbrunner"",""book_name"":""vacation networking carefully"",""lend_date"":""2023-12-24"",""days_to_return"":20},{""book_id"":""475f3164-197c-48ed-95b1-89ddd4811a40"",""author_name"":""Miss Olive Conn"",""book_name"":""although before shoot"",""lend_date"":""2023-11-28"",""days_to_return"":14},{""book_id"":""c7cb726e-0fe0-45c1-a147-cc28ec53091e"",""author_name"":""Maurice Renner"",""book_name"":""gah different quiver"",""lend_date"":""2023-11-12"",""days_to_return"":26},{""book_id"":""38c3bcc2-c6e9-4d3b-809c-3e20849e7d44"",""author_name"":""William Koss"",""book_name"":""meaningfully for woot"",""lend_date"":""2023-07-19"",""days_to_return"":27}]"
26,Evan Renner II,"[{""book_id"":""43a20995-c396-48ca-bf37-4eb94aad7582"",""author_name"":""Joyce Russel"",""book_name"":""exhibit oh broadly"",""lend_date"":""2023-11-15"",""days_to_return"":30},{""book_id"":""e666261a-62ba-430d-80e9-9cec5b426b46"",""author_name"":""Randy Macejkovic"",""book_name"":""while exactly recuperate"",""lend_date"":""2023-04-11"",""days_to_return"":9},{""book_id"":""211bf2e5-eecd-4058-acbb-8c51adc6047b"",""author_name"":""Marta Terry"",""book_name"":""rash aha commonly"",""lend_date"":""2023-07-11"",""days_to_return"":30},{""book_id"":""0f75b8b5-13c0-469d-90a4-5a4175707d57"",""author_name"":""Marie Schiller"",""book_name"":""sympathetic paw which"",""lend_date"":""2023-02-18"",""days_to_return"":22}]"
27,Krystal Lind I,"[]"
28,Alejandro Kuhlman,"[{""book_id"":""1a7ad42f-28b3-4a9a-aa52-ee99f1fd498e"",""author_name"":""Randy Macejkovic"",""book_name"":""fooey geez tiger"",""lend_date"":""2023-09-17"",""days_to_return"":19},{""book_id"":""4040e88b-28a5-429e-bce3-fd83368d8369"",""author_name"":""Terrell Harvey"",""book_name"":""whereas biscuit trundle"",""lend_date"":""2023-10-04"",""days_to_return"":23},{""book_id"":""2ae90a35-1862-4a7f-9a16-a2d9c910b674"",""author_name"":""Erin Cole"",""book_name"":""pursue warmly circa"",""lend_date"":""2023-03-14"",""days_to_return"":14},{""book_id"":""ba12c823-33ff-488a-85ab-588fac403319"",""author_name"":""Irvin Towne"",""book_name"":""median or fatal"",""lend_date"":""2023-09-14"",""days_to_return"":27},{""book_id"":""8e63a166-dc3e-43d8-9235-520430c85c52"",""author_name"":""Fernando Streich"",""book_name"":""likewise wherever favorite"",""lend_date"":""2023-06-30"",""days_to_return"":30}]"
29,Troy Marks,"[{""book_id"":""2ff6d072-9cc7-4c0b-8108-dc4e8b52e7be"",""author_name"":""Jenna Gerlach"",""book_name"":""gift amongst decent"",""lend_date"":""2023-04-23"",""days_to_return"":21},{""book_id"":""e2a21607-ae01-413b-a35e-cdab1d051fb0"",""author_name"":""Maurice Renner"",""book_name"":""furiously hay ha"",""lend_date"":""2023-02-26"",""days_to_return"":12},{""book_id"":""b2883074-8b3c-46f6-bc2d-93aad23050c8"",""author_name"":""Joyce Russel"",""book_name"":""gah laborer superintend"",""lend_date"":""2023-02-18"",""days_to_return"":4},{""book_id"":""9a88d854-8f9a-4e39-bf82-d9b5e14178e7"",""author_name"":""Marta Terry"",""book_name"":""smoggy lest as"",""lend_date"":""2023-05-21"",""days_to_return"":1},{""book_id"":""77d284a6-189a-4ff7-b606-3bdf24b16852"",""author_name"":""Mabel D'Amore DDS"",""book_name"":""ack joshingly lively"",""lend_date"":""2023-12-14"",""days_to_return"":24}]"
30,Mathew Terry,"[{""book_id"":""266940eb-308f-464f-89aa-74e7756f1df3"",""author_name"":""Terrell Harvey"",""book_name"":""drat loftily within"",""lend_date"":""2023-07-03"",""days_to_return"":8},{""book_id"":""4040e88b-28a5-429e-bce3-fd83368d8369"",""author_name"":""Terrell Harvey"",""book_name"":""whereas biscuit trundle"",""lend_date"":""2023-03-02"",""days_to_return"":2}]"
31,Flora Corwin III,"[{""book_id"":""5690ad39-f339-4204-9ab2-dafe59744bc9"",""author_name"":""Randy Macejkovic"",""book_name"":""unlined swank archive"",""lend_date"":""2023-11-05"",""days_to_return"":24},{""book_id"":""4289f532-59e8-4f28-99c3-ee0391218370"",""author_name"":""Josh Cruickshank"",""book_name"":""even geez worthwhile"",""lend_date"":""2023-02-17"",""days_to_return"":29},{""book_id"":""130d8d96-e2ea-4546-9063-252e58a9fdd5"",""author_name"":""Mitchell Strosin"",""book_name"":""uh-huh but or"",""lend_date"":""2023-10-18"",""days_to_return"":15},{""book_id"":""05fdc1c0-a500-4899-b48d-2157b82982d6"",""author_name"":""Mr. Sherman Batz I"",""book_name"":""curvy tart informal"",""lend_date"":""2023-06-16"",""days_to_return"":8},{""book_id"":""e11aa8b0-6956-4fa0-937e-f7bbf9aa5a2f"",""author_name"":""Mitchell Strosin"",""book_name"":""indeed unlike loosely"",""lend_date"":""2023-04-07"",""days_to_return"":9}]"
32,Laura O'Hara-Robel,"[]"
33,Mr. Nick Kunze,"[{""book_id"":""5aa1ef85-b498-4171-86a6-2f401b4b46a4"",""author_name"":""Josh Cruickshank"",""book_name"":""if pelt tomorrow"",""lend_date"":""2023-08-18"",""days_to_return"":24}]"
34,Betty Doyle,"[{""book_id"":""5aa1ef85-b498-4171-86a6-2f401b4b46a4"",""author_name"":""Josh Cruickshank"",""book_name"":""if pelt tomorrow"",""lend_date"":""2023-12-16"",""days_to_return"":15},{""book_id"":""3b577187-5ed0-493b-8c29-58c94c218204"",""author_name"":""Kari Oberbrunner"",""book_name"":""vacation networking carefully"",""lend_date"":""2023-05-31"",""days_to_return"":4},{""book_id"":""0f75b8b5-13c0-469d-90a4-5a4175707d57"",""author_name"":""Marie Schiller"",""book_name"":""sympathetic paw which"",""lend_date"":""2023-12-27"",""days_to_return"":7}]"
35,Clark Wolf,"[{""book_id"":""983ab5b5-5d0d-425c-ab09-e31297369cc7"",""author_name"":""Robin Aufderhar"",""book_name"":""gadzooks unfortunate sweat"",""lend_date"":""2023-07-28"",""days_to_return"":1}]"
36,Laverne Rogahn,"[]"
37,Claudia Schmitt,"[{""book_id"":""e85f672d-5b35-4ce1-8f59-3b56c2a06af1"",""author_name"":""Blanche Waelchi"",""book_name"":""outmaneuver aha old-fashioned"",""lend_date"":""2023-11-26"",""days_to_return"":25},{""book_id"":""91bbd506-f3a2-468e-8297-f0c3cb765c57"",""author_name"":""Mabel D'Amore DDS"",""book_name"":""arrangement enlightened yowza"",""lend_date"":""2023-11-03"",""days_to_return"":4},{""book_id"":""0f75b8b5-13c0-469d-90a4-5a4175707d57"",""author_name"":""Marie Schiller"",""book_name"":""sympathetic paw which"",""lend_date"":""2023-09-15"",""days_to_return"":2}]"
38,Tina Hickle,"[{""book_id"":""ed691d4a-247a-43ed-973a-7156a555cee9"",""author_name"":""Orville Stiedemann"",""book_name"":""bah subtend deface"",""lend_date"":""2023-09-19"",""days_to_return"":2},{""book_id"":""2e7c110a-36b7-45cf-a848-b5229694f194"",""author_name"":""Maureen White"",""book_name"":""bah immobilize gee"",""lend_date"":""2023-03-28"",""days_to_return"":1},{""book_id"":""db76fd9b-0f5a-4e31-89a4-288a0f5dc763"",""author_name"":""Fernando Streich"",""book_name"":""what resect unto"",""lend_date"":""2023-02-21"",""days_to_return"":19},{""book_id"":""3897db51-52b4-4b5c-81e6-16f94e5a816e"",""author_name"":""Erin Cole"",""book_name"":""ew exist hidden"",""lend_date"":""2023-07-21"",""days_to_return"":26}]"
39,Margaret MacGyver,"[{""book_id"":""5b172813-756c-4c37-a843-05491dc86329"",""author_name"":""Roman Frami"",""book_name"":""sans cabbage between"",""lend_date"":""2023-05-31"",""days_to_return"":18},{""book_id"":""55814f06-2950-4663-930b-c3fb832c0481"",""author_name"":""Erin Cole"",""book_name"":""reluctantly cohabit muted"",""lend_date"":""2023-05-30"",""days_to_return"":13},{""book_id"":""e66a3bc4-b82a-47d7-97d3-4c4df9a3354c"",""author_name"":""Joyce Russel"",""book_name"":""manufacture apropos equally"",""lend_date"":""2024-01-10"",""days_to_return"":22},{""book_id"":""e66a3bc4-b82a-47d7-97d3-4c4df9a3354c"",""author_name"":""Joyce Russel"",""book_name"":""manufacture apropos equally"",""lend_date"":""2023-10-21"",""days_to_return"":21}]"
40,Lynne Hegmann-Langosh,"[{""book_id"":""52302f52-9643-439a-aac2-d6b438a07e54"",""author_name"":""Rachel Johns"",""book_name"":""boohoo commonly mechanically"",""lend_date"":""2023-08-18"",""days_to_return"":24},{""book_id"":""9c480ab4-4dc7-455e-9284-af60a3906c5f"",""author_name"":""Yvette Koelpin-Stanton DDS"",""book_name"":""psst huzzah meh"",""lend_date"":""2023-02-01"",""days_to_return"":18},{""book_id"":""4289f532-59e8-4f28-99c3-ee0391218370"",""author_name"":""Josh Cruickshank"",""book_name"":""even geez worthwhile"",""lend_date"":""2023-08-13"",""days_to_return"":14},{""book_id"":""c0f32e4b-87b3-446f-9060-95eb4aa1873c"",""author_name"":""Mitchell Strosin"",""book_name"":""camel glower sunlamp"",""lend_date"":""2023-04-29"",""days_to_return"":15}]"
41,Laverne Miller DDS,"[{""book_id"":""9c480ab4-4dc7-455e-9284-af60a3906c5f"",""author_name"":""Yvette Koelpin-Stanton DDS"",""book_name"":""psst huzzah meh"",""lend_date"":""2023-12-27"",""days_to_return"":23},{""book_id"":""130d8d96-e2ea-4546-9063-252e58a9fdd5"",""author_name"":""Mitchell Strosin"",""book_name"":""uh-huh but or"",""lend_date"":""2023-08-27"",""days_to_return"":23}]"
42,Perry Marks,"[{""book_id"":""ee219d5a-390c-4d16-95c3-b67020fcaac0"",""author_name"":""Josh Cruickshank"",""book_name"":""buoyant elope safely"",""lend_date"":""2023-10-11"",""days_to_return"":1},{""book_id"":""b121ba22-e1e1-4053-84d6-8aa9069a37f7"",""author_name"":""Marta Terry"",""book_name"":""hybridization across brr"",""lend_date"":""2023-04-18"",""days_to_return"":6},{""book_id"":""2ff6d072-9cc7-4c0b-8108-dc4e8b52e7be"",""author_name"":""Jenna Gerlach"",""book_name"":""gift amongst decent"",""lend_date"":""2024-01-18"",""days_to_return"":26}]"
43,Kenny Keebler DVM,"[{""book_id"":""5aa1ef85-b498-4171-86a6-2f401b4b46a4"",""author_name"":""Josh Cruickshank"",""book_name"":""if pelt tomorrow"",""lend_date"":""2023-12-05"",""days_to_return"":1},{""book_id"":""ee219d5a-390c-4d16-95c3-b67020fcaac0"",""author_name"":""Josh Cruickshank"",""book_name"":""buoyant elope safely"",""lend_date"":""2023-09-21"",""days_to_return"":22},{""book_id"":""025528bc-7752-4b6c-9ba1-1a3f66a45d99"",""author_name"":""Dr. Kristi Morissette"",""book_name"":""yowza knowledgeably triumph"",""lend_date"":""2023-09-30"",""days_to_return"":20},{""book_id"":""a829785f-5668-4877-8131-372c9c124d45"",""author_name"":""Rene Waters"",""book_name"":""apostrophize duh instantly"",""lend_date"":""2023-10-27"",""days_to_return"":25},{""book_id"":""0f75b8b5-13c0-469d-90a4-5a4175707d57"",""author_name"":""Marie Schiller"",""book_name"":""sympathetic paw which"",""lend_date"":""2023-08-22"",""days_to_return"":16}]"
44,Jesse Hyatt,"[{""book_id"":""e66a3bc4-b82a-47d7-97d3-4c4df9a3354c"",""author_name"":""Joyce Russel"",""book_name"":""manufacture apropos equally"",""lend_date"":""2023-07-14"",""days_to_return"":8},{""book_id"":""7f96eefc-2239-4e2f-a77f-1b0ead289534"",""author_name"":""Tammy Pagac"",""book_name"":""stumble throughout roughly"",""lend_date"":""2023-03-05"",""days_to_return"":2}]"
45,Cary Murphy,"[{""book_id"":""073ba02c-3297-458f-9c49-da54177cc35b"",""author_name"":""Terrell Harvey"",""book_name"":""excitedly elementary miserably"",""lend_date"":""2023-03-22"",""days_to_return"":6}]"
46,Florence Larkin,"[{""book_id"":""651d6fe5-0c98-47b3-8a69-6ce7da346fe0"",""author_name"":""Marion Stark"",""book_name"":""aluminum concerning gadzooks"",""lend_date"":""2023-11-17"",""days_to_return"":22},{""book_id"":""91bbd506-f3a2-468e-8297-f0c3cb765c57"",""author_name"":""Mabel D'Amore DDS"",""book_name"":""arrangement enlightened yowza"",""lend_date"":""2023-11-22"",""days_to_return"":13},{""book_id"":""84ce9fa3-96ba-4cc3-82be-76063010f2c5"",""author_name"":""Rachel Johns"",""book_name"":""meh decimalise under"",""lend_date"":""2024-01-04"",""days_to_return"":2},{""book_id"":""79ca8b31-875f-4d3f-afae-ad51b4ad58e1"",""author_name"":""Robin Aufderhar"",""book_name"":""letter or mmm"",""lend_date"":""2023-03-29"",""days_to_return"":4},{""book_id"":""7b19b1b9-fb61-4894-a1a4-58e8583ff52e"",""author_name"":""Robin Aufderhar"",""book_name"":""apportion amidst blah"",""lend_date"":""2023-08-02"",""days_to_return"":28}]"
